corps,titre,avis
"Livré dans un joli écrin qui met bien en valeur le bracelet. Il est de bonne qualité, et le rendu très jolie avec ce signe infini. Les perles sont uniformes et ont la même couleur. Le fermoir es plutôt classique et à l'air résistant. Bon rapport qualité prix je recommande. Il est plus jolie en vrai qu'en photo.",Jolie Bracelet,positif
Parfait produit nikel,Livraison rapide,positif
vraiment très belle pièce qui fait beaucoup d ' effet sur mon chemisier . je vais même le coudre pour ne pas le perdre MERCI BEAUCOUP,formidable,positif
TRES MOCHE MAIS PARFAIT POUR LES ACCESSOIRES DE DEGUISEMENT POUR MA PETITE FILLE,BOF,négatif
"parfait pour ranger ses bagues dans un bel écrin de velours gris. ce coffret les met vraiment en valeur. seul bémol, la livraison a été un peu longue mais ça valait la peine d'attendre et c'était annoncé !",parfait,positif
Le rose deja parti au bout d unz journée,Trop fragile,négatif
JE n’ai toujours pas reçu le colis est-ce normal ? Normalement il devait venir le 22 janvier mais pourtant je n’est rien reçu,pas reçus de colis,négatif
Bon rapport qualité prix.Belle finition,Collier argent,positif
"Malheureusement j ai perdu la boule haute très rapidement, cependant percing très joli et discret",Percing peu utilisé,négatif
Très déçu chaîne toute emmêler Je ne recommande pas,Styles,négatif
Produit non protégé arrivée totalement pliée de partout (carton) et velours arraché,Mauvaise qualité,négatif
PETIT JE LE DONNE A MA FILLE CAR SERT TROP AU POIGNET,.,négatif
Que dire : pas cher il est vrai Mais fait vraiment toc,Pas cher mais déçue quand même,négatif
Mauvaise qualité casser desuite. Vraiment pas de bonne qualité jai pas pus le portee longtemps.,Bracelet,négatif
"le collier est beaucoup plus petit qu'il n'y parait, ma fille est déçue.. nous l'avons commandé le 24 novembre,il devait arriver le 21 décembre et finalement il n'est arrivé que le 29 décembre gros retard..seul le rapport qualité prix n'est pas décevant!",collier d'amitié,négatif
donne un aspect de bijou pour poupée un peu deçu,bijou fantaisie,négatif
3 encens au lieu de 6 Bon encens,Ne correspond donc pas a la publicité,positif
"Arrivées dans un joli boîtier, avec plusieurs fermoirs en supplément, rien à envier à de grandes marques.","Scintillent , très raffinées ..",positif
l'une des boucles d'oreilles était cassée à la réception du colis,reçu cassé,négatif
Je suis satisfait des pinces à cravate et de la livraison et j'encourage le travail que vous faites. Merci beaucoup,Satisfait,positif
Gentil mais pas pour moi,Gentil mais pas pour moi,négatif
Produit payé jamais reçu!!!,Arnaque,négatif
Idéales pour ranger les petites perles par couleur,Petites boites très pratiques qui ferment bien,positif
Petite mais très belle petit Bague brille et légère sur la main fait son effet sur la main contente! Mais à pêne un mois plus tard la bague a perdu de sont charme très vite abîmé même pas chère c'est un peu rapide dommage!,Très jolie bague,négatif
un bon prix au blackfriday pour ses jolies boucles en argent,Jolies boucles pour les fêtes,positif
Bracelet conforme à mes attentes. Très fin et féminin.,Jolie et raffiné,positif
"Élégant et agréable à porter, je ne regrette pas cet achat et je le conseil à celles et ceux qui hésiteraient.",Super !,positif
Parfait. Manque une étoile car je ne sais pas encore se que sa donne dans le temps. Je suis gameuse et sa ne gène pas pour le porte du casque.,Super,positif
Très jolie charm mais se décolore en 10 jours devient jaune paille,Se décolore trop vite,négatif
le complément parfait du pendentif et des boucles. reçu avec un jour de retard mais l’effet st valentin est réussi.,fait son effet avec l’ensemble parure,positif
Le pim's m'est parvenu endommagé,Pim's,négatif
"Joli bracelet mais taille très limitée , des tailles Supérieur serait souhaitable.",Joli bracelet,positif
"Grosse arnaque ! J'exige à ce que l'on m'envoie un nouveau est correcte cette fois-ci ! J'ai commandé 2 bracelets, Et l'un d'eux n'a Que 6 pierres au lieu des 7 ! Photo absolument contractuelle ! Je Demande un nouvel envoie autrement j'alerte Amazon Et PayPal qui plus est, Car ce n'est apparemment pas la 1ère fois qu'il y a une telle erreure! C'est De la pire arnaque à la consommation ! Je ne suis absolument pas contente ! Absolument pas! C'est tout bonnement honteux de ne pas vérifier avant l'envoie que son article soit correcte !",Arnaque ! Arnaque ! Arnaque !,négatif
Bien comme idee de KDO,Bien,positif
Je suis très satisfaite de ma commande,Très joli bracelet de bonne qualité pour le prix,positif
"Le pendentif est arrivé avec une pierre manquante. Je suis déçue, car cet article était pour ma fille (fan du seigneur des anneaux) pour Noël. Vraiment dommage.",Pierre manquante,négatif
Nickel ! Faut juste pas avoir un gros nez mdr ! Moi ca passe crème et en plus de ça j’ai pu les ouvrir un peu plus avec une pince à long bec,Good,positif
"Articles bien emballées , pas d’odeur de plastique , les petits sacs sont en bon état et le lien pour les fermer est efficace ! A recommandé pour ceux qui veulent emballer des fleurs séchées ou de la lavande pour faire des petits sacs senteur , le coton du sac laisse bien passé les senteurs.","Spécial emballage fleur séchée (lavande,etc...)",positif
"Très joli design, mais aucun effet sur mes douleurs articulaires contrairement à deux gros aimants que je possède. Ça semble évident vu le peu de puissance des aimants qui composent ce bracelet (encore moins puissants que des magnets de frigo -_- )",jolie mais...,négatif
Pierre arrivé déjà tombé assez déçue,Bof,négatif
Article correspondant au prix payé; Délai de livraison respecté. Parfait pour les loisirs créatifs et petite décoration. Satisfaite de cet achat.,Idéal pour loisirs créatifs.,positif
"Bracelet de bonne qualité, fermoir de qualité, vendu dans une boite qui présente bien pour un cadeau",Bracelet de qualité,positif
"Le colis de la poste affiche ""livré"" mais je n'ai toujours rien reçu.",En attente ou perdu?,négatif
Très déçue il manque une plume et la chaîne est ultra courte pour un bola de grossesse elle tombe sous la poitrine alors quelle devrait tomber sur le ventre ce qui fait acheter une chaîne.en.supplement,Chaîne très courte,négatif
c’est une bague très jolie certes mais est-ce normal que mon doigts devienne noir si c’est de l’argent ? je ne recommande pas,déçu,négatif
Déçus de ses boucles d oreille j ai du les retirer à ma fille les clou c est plier,Pas content,négatif
"il y a le choix pour le bracelet du jour, produit bien fait , très satisfait du produit, oui je recommande.",genial,positif
"Dommage, j'aimais beaucoup cette petite bague toute mimi, mais au bout de 3 mois portée sans arrêt, l'argent s'est décoloré en une couleur dorée bizarre.. Pour moi c'est qu'elle n'est pas massive ou l'alliage est mal fait, étrange..",Pas sûre que se soit de l'argent..,négatif
La croix de Camargue a un maillon trop petit pour y passer une chaine J ai du la renvoyer,colis reçu dans les temps,négatif
Dommage une pierre arrivée cassée pas de remplacement possible petit remboursement de la pierre,Sympa mais,négatif
"Livraison parfaite, très bien emballées. Les boucles d'oreilles ne sont pas du tout tordu et les attaches conviennent parfaitement. Elles sont vraiment très jolies",Très jolies,positif
Quand le bracelet est serré à fond il est trop grand sur le poignet.. c'est un peu dommage . .,Bracelet trop grand,négatif
"reçu dans le délai donné. Jolie gourmette, l’écriture est conforme à la photo. Bien protégée je conseille",tres jolie,positif
"Les boucles sont très jolies et je suis d’accord avec les commentaires positifs précédents. Malheureusement, une fois accrochées aux oreilles on est en peu déçu du résultat en se regardant de face. Ça serait plus esthétique si les deux boucles étaient conçues symétriquement. Le fait que les deux boucles soient identiques donne un meilleur résultat sur l’oreille droite que sur l’oreille gauche. J’ai fait un petit montage pour illustrer le problème sur la photo en pièce jointe.",Légèrement déçu,négatif
"Pas du tout d'accord avec les commentaires actuels. Déjà la qualité est pas terrible mais surtout je n'arrive pas à la mettre... La tige est vraiment trop courte, elle ne sort pas de l'autre côté, je n'ai aucun problème d'habitude. A éviter",Dommage,négatif
Perdu dès le deuxième jour à cause de la fermeture défaillante,Fermeture défaillante,négatif
le produit est arrivé dans les temps (dans un emballage 10 fois trop grand) rendu top mais je suis déçu car je l'ai commandé pour l'offrir à ma maman et je l'ai reçu avec une pierre bleu manquante sur le coeur central QUEL DOMMAGE et attention aucune possibilité de l'agrandir ou de le rétrécir comme écrit dans le descriptif !,produit sympas mais...,négatif
"Très joli, ma petite nièce a adoré. Elle n'aime que les bijoux fins et c le cas. De plus la parure est belle.",Ensemble INFINI en argent,positif
"Très jolies boucles! Très belle qualité ! Elles sont classiques, pendants mais pas trop Lourdes et les cristaux sont discrets et font un très bel effet !",Top,positif
"Cadeau pour maman ! Hyper contente du rendu, il fait vraiment très bonne qualité. A un prix mini c'est top!",Superbe!,positif
La pierre du piercing est beaucoup plus grosse que prévu malgré le fait qu'elle soit jolie. Très voyant. Délai de livraison ok.,Déçu,négatif
Produit a eviter. Je l ai deja perdu apres 3 jours. Le fermoir n est absolument une securite et il s ouvre sans arret au moindre contact.,A eviter,négatif
"un très beau cadeau que j'ai offert à ma soeur, c'était parfait livraison rapide, très beau bijou pas très cher",arbre de vie,positif
Pendentif sympa mais chaîne de mauvaise qualité. Cassée par ma fille au bout de 2 jours. Je ne recommande pas.,Qualité de chaîne médiocre,négatif
"J'aime les chats ! La commande était très rapide, c'est très encourageant ! Pour les commandes futures !!!",Que la commande soit conforme à la photo !!!,positif
5 diamants dans les boules des piercings ce sont decoler alors qu'il sont neuf. Pas très content,Mauvais état,négatif
"Pour une première expérience chez Amazon vraiment ravie, tt c très bien passé",Rapidité et efficacité,positif
"beau bijou , léger avec de belles couleurs il serais probable que j'en achète d'autres a l'avenir , en plus de son coté protection il est très agreable , merci a vous , bonne journée",une merveille,positif
"2 fois que je le commande et je ne l'ai jamais reçu. C'est une arnaque, méfiez vous.",Arnaque,négatif
Produit de bonne qualité.... Dommage qu'il ne soit pas arrivé avec le coloris choisi sinon j'aurais mis 5 étoiles !!!,Mauvais coloris,négatif
"Très beau bracelet, réglable avec un système de noeuds. Problème certains noeuds mal fait entraînent une décomposition progressive d ou la note.",Bien en photo,positif
joli pendentif qui a beaucoup satisfait ma fille,très mignon,positif
"Très joli bracelet, léger, beau design, correspond bien à la photo. La chaîne est un peu longue mais ça ne me dérange pas vraiment. À voir dans la durée. Je vous le recommande !",Joli bracelet,positif
Je n ai jamais reçu mon produit ! J ai demandé qu on me l envoie et aucune réponse ! J attend toujours,Mecontente,négatif
Franchement pas terrible beaucoup moins jolies que sur la photo commandé 3 paires pour mes filles et Mme les couleurs sont vraiment pâle en comparaison des photos et le fermoir n'est pas très serré après à 19 euros je ne m'attendais pas à du haut de gammes mais un peu mieux quand même.,Peut mieux faire,négatif
Finitions décevantes par rapport à la photo. On n’a pas l’impression d’acheter le même produit,Produit décevant,négatif
juste le plaisir des yeux,"jolie, mais un peu petit en tour de poignet",positif
"Super rendue, assez facile à mettre, de bonne qualité, je p le recommander.",Très joli,positif
